x,y,f
0.171875,0.078125,-0.727444
0.182292,0.078125,-0.445168
0.192708,0.078125,-0.162891
0.203125,0.078125,0.119385
0.213542,0.078125,0.401662
0.223958,0.078125,0.683938
0.234375,0.078125,0.966215
0.244792,0.078125,1.248492
0.255208,0.078125,1.378141
0.265625,0.078125,1.355165
0.276042,0.078125,1.332188
0.286458,0.078125,1.309211
0.296875,0.078125,1.286234
0.307292,0.078125,1.263257
0.317708,0.078125,1.240280
0.328125,0.078125,1.217304
0.338542,0.078125,1.194327
0.348958,0.078125,1.171350
0.359375,0.078125,1.148373
0.369792,0.078125,1.125396
0.380208,0.078125,1.102419
0.390625,0.078125,1.079443
0.401042,0.078125,1.056466
0.411458,0.078125,1.033489
0.421875,0.078125,1.010512
0.432292,0.078125,0.987535
0.442708,0.078125,0.964558
0.453125,0.078125,0.941582
0.463542,0.078125,0.918605
0.473958,0.078125,0.895628
0.484375,0.078125,0.872651
0.494792,0.078125,0.849674
0.505208,0.078125,0.813308
0.515625,0.078125,0.763553
0.526042,0.078125,0.713798
0.536458,0.078125,0.664042
0.546875,0.078125,0.614287
0.557292,0.078125,0.564532
0.567708,0.078125,0.514777
0.578125,0.078125,0.465022
0.588542,0.078125,0.415266
0.598958,0.078125,0.365511
0.609375,0.078125,0.315756
0.619792,0.078125,0.266001
0.630208,0.078125,0.216245
0.640625,0.078125,0.166490
0.651042,0.078125,0.116735
0.661458,0.078125,0.066980
0.671875,0.078125,0.017224
0.682292,0.078125,-0.032531
0.692708,0.078125,-0.082286
0.703125,0.078125,-0.132041
0.713542,0.078125,-0.181796
0.723958,0.078125,-0.231552
0.734375,0.078125,-0.281307
0.744792,0.078125,-0.331062
0.755208,0.078125,-0.380817
0.765625,0.078125,-0.430573
0.776042,0.078125,-0.480328
0.786458,0.078125,-0.530083
0.796875,0.078125,-0.579838
0.807292,0.078125,-0.629594
0.817708,0.078125,-0.679349
0.828125,0.078125,-0.729104
0.838542,0.078125,-0.778859
0.848958,0.078125,-0.828614
0.859375,0.078125,-0.878370
0.869792,0.078125,-0.928125
0.880208,0.078125,-0.977880
0.890625,0.078125,-1.027635
0.901042,0.078125,-1.077391
0.911458,0.078125,-1.127146
0.921875,0.078125,-1.176901
0.932292,0.078125,-1.226656
0.942708,0.078125,-1.276412
0.953125,0.078125,-1.326167
0.963542,0.078125,-1.375922
0.973958,0.078125,-1.425677
0.984375,0.078125,-1.475433
0.994792,0.078125,-1.525188
0.005208,0.088542,-4.011300
0.015625,0.088542,-3.833400
0.026042,0.088542,-3.655500
0.036458,0.088542,-3.477600
0.046875,0.088542,-3.299700
0.057292,0.088542,-3.121801
0.067708,0.088542,-2.943901
0.078125,0.088542,-2.766001
0.088542,0.088542,-2.588101
0.098958,0.088542,-2.410201
0.109375,0.088542,-2.232301
0.119792,0.088542,-2.054401
0.130208,0.088542,-1.824689
0.140625,0.088542,-1.543165
0.151042,0.088542,-1.261641
0.161458,0.088542,-0.980116
0.171875,0.088542,-0.698592
0.182292,0.088542,-0.417068
0.192708,0.088542,-0.135543
0.203125,0.088542,0.145981
0.213542,0.088542,0.427505
0.223958,0.088542,0.709029
0.234375,0.088542,0.990554
0.244792,0.088542,1.272078
0.255208,0.088542,1.402113
0.265625,0.088542,1.380658
0.276042,0.088542,1.359204
0.286458,0.088542,1.337749
0.296875,0.088542,1.316295
0.307292,0.088542,1.294840
0.317708,0.088542,1.273385
0.328125,0.088542,1.251931
0.338542,0.088542,1.230476
0.348958,0.088542,1.209022
0.359375,0.088542,1.187567
0.369792,0.088542,1.166113
0.380208,0.088542,1.144658
0.390625,0.088542,1.123204
0.401042,0.088542,1.101749
0.411458,0.088542,1.080295
0.421875,0.088542,1.058840
0.432292,0.088542,1.037385
0.442708,0.088542,1.015931
0.453125,0.088542,0.994476
0.463542,0.088542,0.973022
0.473958,0.088542,0.951567
0.484375,0.088542,0.930113
0.494792,0.088542,0.908658
0.505208,0.088542,0.873679
0.515625,0.088542,0.825175
0.526042,0.088542,0.776672
0.536458,0.088542,0.728168
0.546875,0.088542,0.679664
0.557292,0.088542,0.631160
0.567708,0.088542,0.582657
0.578125,0.088542,0.534153
0.588542,0.088542,0.485649
0.598958,0.088542,0.437146
0.609375,0.088542,0.388642
0.619792,0.088542,0.340138
0.630208,0.088542,0.291634
0.640625,0.088542,0.243131
0.651042,0.088542,0.194627
0.661458,0.088542,0.146123
0.671875,0.088542,0.097619
0.682292,0.088542,0.049116
0.692708,0.088542,0.000612
0.703125,0.088542,-0.047892
0.713542,0.088542,-0.096395
0.723958,0.088542,-0.144899
0.734375,0.088542,-0.193403
0.744792,0.088542,-0.241907
0.755208,0.088542,-0.290410
0.765625,0.088542,-0.338914
0.776042,0.088542,-0.387418
0.786458,0.088542,-0.435922
0.796875,0.088542,-0.484425
0.807292,0.088542,-0.532929
0.817708,0.088542,-0.581433
0.828125,0.088542,-0.629936
0.838542,0.088542,-0.678440
0.848958,0.088542,-0.726944
0.859375,0.088542,-0.775448
0.869792,0.088542,-0.823951
0.880208,0.088542,-0.872455
0.890625,0.088542,-0.920959
0.901042,0.088542,-0.969463
0.911458,0.088542,-1.017966
0.921875,0.088542,-1.066470
0.932292,0.088542,-1.114974
0.942708,0.088542,-1.163478
0.953125,0.088542,-1.211981
0.963542,0.088542,-1.260485
0.973958,0.088542,-1.308989
0.984375,0.088542,-1.357492
0.994792,0.088542,-1.405996
0.005208,0.098958,-4.015817
0.015625,0.098958,-3.828670
0.026042,0.098958,-3.641523
0.036458,0.098958,-3.454377
0.046875,0.098958,-3.267230
0.057292,0.098958,-3.080083
0.067708,0.098958,-2.892937
0.078125,0.098958,-2.705790
0.088542,0.098958,-2.518643
0.098958,0.098958,-2.331497
0.109375,0.098958,-2.144350
0.119792,0.098958,-1.957203
0.130208,0.098958,-1.728176
0.140625,0.098958,-1.457269
0.151042,0.098958,-1.186362
0.161458,0.098958,-0.915455
0.171875,0.098958,-0.644548
0.182292,0.098958,-0.373641
0.192708,0.098958,-0.102734
0.203125,0.098958,0.168173
0.213542,0.098958,0.439080
0.223958,0.098958,0.709987
0.234375,0.098958,0.980894
0.244792,0.098958,1.251801
0.255208,0.098958,1.378305
0.265625,0.098958,1.360406
0.276042,0.098958,1.342507
0.286458,0.098958,1.324608
0.296875,0.098958,1.306709
