wala,wac,n0,k_term
205.0,5.965,3946.0,3723
209.0,6.511,1922.0,1883
207.0,6.912,763.0,727
203.0,4.561,2301.0,2046
203.0,4.948,43637.0,40274
204.0,5.415,19852.0,18779
205.0,5.93,3965.0,3688
213.0,6.471,1070.0,1029
210.0,6.921,553.0,538
206.0,7.375,63.0,61
203.0,4.403,3020.0,2668
202.0,4.857,53749.0,49999
202.0,5.316,29812.0,27279
206.0,5.918,1552.0,1474
212.0,6.346,784.0,755
211.0,6.825,511.0,491
216.0,7.53,28.0,26
202.0,4.417,3579.0,3036
202.0,4.88,65980.0,59922
204.0,5.346,31477.0,29454
224.0,5.898,7678.0,7203
249.0,6.49,1809.0,1749
265.0,6.997,1097.0,1080
236.0,7.373,146.0,143
201.0,3.875,64.0,56
201.0,4.407,1756.0,1634
201.0,4.904,35184.0,32021
200.0,5.377,57030.0,50387
200.0,5.844,19433.0,18970
206.0,6.415,780.0,735
208.0,6.916,363.0,357
261.0,7.492,31.0,31
200.0,4.418,748.0,689
200.0,4.969,20831.0,18933
199.0,5.407,68455.0,64784
200.0,5.851,16775.0,16317
202.0,6.425,1218.0,1165
216.0,6.889,195.0,188
300.0,7.432,51.0,51
199.0,4.495,630.0,577
199.0,4.985,22669.0,21642
198.0,5.398,82076.0,76885
199.0,5.847,16285.0,15405
204.0,6.44,1698.0,1650
225.0,6.885,200.0,196
198.0,4.541,938.0,861
197.0,4.933,25705.0,23548
197.0,5.351,75482.0,66831
199.0,5.841,9380.0,8944
207.0,6.517,860.0,828
223.0,6.917,343.0,334
207.0,7.561,102.0,100
197.0,4.438,1149.0,986
196.0,4.92,40810.0,38808
196.0,5.327,90593.0,85371
198.0,5.841,6521.0,6252
210.0,6.528,649.0,632
206.0,7.062,220.0,214
196.0,4.43,1160.0,1008
196.0,4.902,43173.0,41051
196.0,5.314,79377.0,75486
197.0,5.838,4764.0,4533
206.0,6.463,535.0,513
196.0,7.087,118.0,113
195.0,4.389,1068.0,813
195.0,4.894,41663.0,38879
195.0,5.296,53257.0,49931
200.0,5.862,3139.0,3024
200.0,6.49,240.0,222
246.0,6.929,138.0,137
